file,survey_area,state,issue_date,caption,series
http://www.nrcs.usda.gov/Internet/NRCS_DIAGRAMS/graphics/AK-2011-05-27-01.tif,Fairbanks Area,AK,1959,"Diagram of a landscape showing relationship of soil series, underlying material, and permafrost. Adapted from Pewe (Soil Survey of Fairbanks Area, Alaska; 1959). ","Bradway, Chena, Easter, Fairbanks, Gilmore, Goldstream, Lemeta, Minto, Salchaket, Saulich, Tanana"
http://www.nrcs.usda.gov/Internet/NRCS_DIAGRAMS/graphics/AL-2010-02-25-01.tif,Wilcox County,AL,March 1999,"Generalized patterns of soils, geomorphology, and landscape relationships in the Sucarnoochee-Congaree, Searcy-Freest, Demopolis-Watsonia, and Oktibbeha-Brantley general soil map units along Pine Barren Creek in the eastern part of Wilcox County (Soil Survey of Wilcox County, Alabama; 1999).","Congaree, Brantley, Demopolis, Freest, Oktibbeha, Searcy, Sucarnoochee, Watsonia"
http://www.nrcs.usda.gov/Internet/NRCS_DIAGRAMS/graphics/AL-2010-02-25-02.tif,Wilcox County,AL,March 1999,"Generalized patterns of soils, geomorphology, and landscape relationships in the Urbo-Mooreville-Una, Annemaine-Izagora-Lenoir, Luverne-Halso, Arundel-Cantuche, and Bama-Malbis-Luverne general soil map units along the Alabama River in the central part of Wilcox County (Soil Survey of Wilcox County, Alabama; 1999).","Annemaine, Arundel, Bama, Cantuche, Izagora, Lenoir, Luverene, Halso, Malbis, Mooreville, Una, Urbo"
http://www.nrcs.usda.gov/Internet/NRCS_DIAGRAMS/graphics/AL-2010-08-27-01.tif,Clarke County,AL,2006,"Generalized patterns of soils and geomorphology and landscape relationships in general soil map units 2—Iuka-Bibb-Harleston, 6—Lucedale-Bama-Smithdale, 8—Smithdale-Wadley-Boykin, 9—Smithdale-Flomaton-Wadley, 10—Prim-Suggsville-Brantley, and 11—Okeelala-Brantley-Smithdale. The area illustrated is along Bassett Creek in the northeastern part of Clarke County, Alabama (Soil Survey of Clarke County, Alabama; 2006) .","Bama, Bibb, Boykin, Brantley, Flomaton, Harleson, Iuka,  Lucedale, Okeelala, Prim, Smithdale, Suggsville, Wadley "
http://www.nrcs.usda.gov/Internet/NRCS_DIAGRAMS/graphics/AL-2011-05-27-01.tif,Randolph County,AL,1967,"Representative pattern of soils and parent materials (Soil Survey of Randolph County, Alabama; 1967). ","Appling, Cecil, Chewacla, Davidson, Hulett, Louisa, Madison, Wilkes"
http://www.nrcs.usda.gov/Internet/NRCS_DIAGRAMS/graphics/AL-2012-04-24-01.tif,Clarke County,AL,August 2006,"Schematic of the Gulf Coastal Plain illustrating the dip of Coastal Plain sediments and the pattern of outcrop on the surface. Also shown are the cuestas that occur in a north-facing direction where streams seeking pathways to the Gulf of Mexico encountered belts of resistant rocks (Lacefield, 2000, after Clay and  others, 1989) (Soil Survey of Clarke County, Alabama; August 2006).",
http://www.nrcs.usda.gov/Internet/NRCS_DIAGRAMS/graphics/AL-2012-04-24-02.tif,Clarke County,AL,August 2006,"Generalized patterns of soils and geomorphology and landscape relationships in general soil map units 2—Iuka-Bibb-Harleston, 6—Lucedale-Bama-Smithdale, 8—Smithdale-Wadley-Boykin, 9—Smithdale-Flomaton-Wadley, 10—Prim-Suggsville-Brantley, and 11—Okeelala-Brantley-Smithdale. The area illustrated is along Bassett Creek in the northeastern part of Clarke County, Alabama (Soil Survey of Clarke County, Alabama; August 2006).","Bama, Bibb, Boykin, Brantley, Flomaton, Harleston, Iuka, Lucedale, Okeelala, Prim, Smithdale, Suggsville,  Wadley"
http://www.nrcs.usda.gov/Internet/NRCS_DIAGRAMS/graphics/AL-2012-04-24-03.tif,Clarke County,AL,August 2006,"A reconstruction of the paleoenvironment of the Gulf region during the time of deposition of the rocks near the Eocene/Oligocene boundary (around 38 million years ago). Much of southern Alabama and Mississippi was submerged in a shallow sea during the Oligocene Period. The marine sediments deposited during this period include the limestone, chalk, marl, and shale exposed in the uplands of Clarke County today (Soil Survey of Clarke County, Alabama; August 2006).",
http://www.nrcs.usda.gov/Internet/NRCS_DIAGRAMS/graphics/AL-2012-04-24-04.tif,Clarke County,AL,August 2006,"Origin of a salt bed: Millions of years ago, a part of the Costal Plain area was reminiscent of the area around the Great Salt Lake. During this much drier climate, an evaporative salt deposit formed in the bed of a shallow sea. Subsequently it was covered over by tens of thousands of feet of sedimentary layers as sea level rose and fell over long periods of time (Soil Survey of Clarke County, Alabama; August 2006).",
http://www.nrcs.usda.gov/Internet/NRCS_DIAGRAMS/graphics/AL-2012-04-24-05.tif,Clarke County,AL,August 2006,"Salt dome formation: Over geologic time, the weight of several thousands of feet of water-laden sediments exerted pressure on the once-flat salt bed, causing an upward welling of the salt. As the less dense, plastic salt thrust upward, it deformed the overlying sedimentary layers. Faulting and folding resulted, and cracks and fissures formed along this zone of deformation allowing oil and natural gas deposits to rise upward. The gas and oil collected in traps formed by dense layers of clays and bedrock surrounding porous layers of sands and soft shales. The formation of salt domes caused deformation of the local landscape, resulting in increased relief, exposure of older sediments to weathering, and creation of salty artesian springs (Soil Survey of Clarke County, Alabama; August 2006).",
http://www.nrcs.usda.gov/Internet/NRCS_DIAGRAMS/graphics/AL-2012-04-24-06.tif,Clarke County,AL,August 2006,"The Hatchetigbee Anticline, which is more than 30 miles long and 15 miles wide, resulted from a convex upward folding of the bedded sediments. The uplifting mechanism is thought to be a salt dome. Erosion of the deformed strata during the uplifting has resulted in rugged topography and exposure of sedimentary beds that normally would be overlain by younger sediments (Soil Survey of Clarke County, Alabama; August 2006).",
http://www.nrcs.usda.gov/Internet/NRCS_DIAGRAMS/graphics/AL-2012-04-24-07.tif,Fayette County,AL,November 1965,"Block diagram showing typical topography and the major soils in the Montevallo-Enders-Townley association (Soil Survey of Fayette County, Alabama; November 1965).","Enders, Leadville, Montevallo, Sequatchie, Townley"
http://www.nrcs.usda.gov/Internet/NRCS_DIAGRAMS/graphics/AL-2012-04-24-08.tif,Marshall County,AL,June 1959,"Physiographic divisions in Marshall County: (1) Sandstone plateaus, (2) rough mountain slopes, (3) limestone valleys (Soil Survey of Marshall County, Alabama; June 1959).",
http://www.nrcs.usda.gov/Internet/NRCS_DIAGRAMS/graphics/AL-2012-04-24-09.tif,Marshall County,AL,June 1959,"East-west profile through Guntersville. Horizontal distance approximately 7 miles (Soil Survey of Marshall County, Alabama; June 1959).",
http://www.nrcs.usda.gov/Internet/NRCS_DIAGRAMS/graphics/AL-2012-04-24-10.tif,Montgomery County,AL,September 1960,"Physiographic subdivisions in Montgomery County: (1) Flood plains and low stream terraces; (2) red, high stream terraces; (3) prairie land or black belt; (4) rough, hilly land; and (5) gray sandy land (Soil Survey of Montgomery County, Alabama; September 1960).",
http://www.nrcs.usda.gov/Internet/NRCS_DIAGRAMS/graphics/AL-2012-04-24-11.tif,Greene County,AL,June 1971,"Cross section of association 2 showing topography, important soils, and underlying material (Soil Survey of Greene County, Alabama; June 1971).","Oktibbeha, Sumter, Trinity, Vaiden"
http://www.nrcs.usda.gov/Internet/NRCS_DIAGRAMS/graphics/AL-2012-04-24-12.tif,Greene County,AL,June 1971,"Cross section of association 3 showing topography, important soils, and underlying material (Soil Survey of Greene County, Alabama; June 1971).","Angie, Cahaba, Dulac, Leaf"
http://www.nrcs.usda.gov/Internet/NRCS_DIAGRAMS/graphics/AL-2012-04-24-13.tif,Calhoun County,AL,September 1961,"Some of the general soil areas, or soil associations, in relation to topographic position and parent material (Soil Survey of Calhoun County, Alabama; September 1961).","Allen, Anniston, Clarksville, Decatur, Fullerton, Lehew, Montevallo, Rarden"
http://www.nrcs.usda.gov/Internet/NRCS_DIAGRAMS/graphics/AL-2012-04-24-14.tif,Chambers County,AL,June 1959,"Soil associations of Chambers County, Alabama (Soil Survey of Chambers County, Alabama; June 1959).","Appling, Cecil, Durham, Lloyd, Louisa, Madison"
http://www.nrcs.usda.gov/Internet/NRCS_DIAGRAMS/graphics/AL-2012-04-24-15.tif,Limestone County,AL,March 1953,"Physiographic map of Limestone County, Ala., showing the drainage system (Soil Survey of Limestone County, Alabama; March 1953).",
http://www.nrcs.usda.gov/Internet/NRCS_DIAGRAMS/graphics/AL-2012-04-24-16.tif,Madison County,AL,February 1958,"Physiographic map of Madison County, Ala. (Soil Survey of Madison County, Alabama; February 1958).",
http://www.nrcs.usda.gov/Internet/NRCS_DIAGRAMS/graphics/AL-2012-04-25-01.tif,Jackson County,AL,March 1954,"Physiographic divisions of Jackson County, Ala (Soil Survey of Jackson County, Alabama; March 1954).",
http://www.nrcs.usda.gov/Internet/NRCS_DIAGRAMS/graphics/AL-2012-04-25-02.tif,Jackson County,AL,March 1954,"Profile along 34°50′ parallel across Jackson County, Ala., showing important land features, approximate relief, and nature and occurrence of parent rock (Soil Survey of Jackson County, Alabama; March 1954).",
http://www.nrcs.usda.gov/Internet/NRCS_DIAGRAMS/graphics/AL-2012-04-25-03.tif,De Kalb County,AL,September 1958,"Physiographic map of De Kalb County, Alabama (Soil Survey of De Kalb County, Alabama; September 1958).",
http://www.nrcs.usda.gov/Internet/NRCS_DIAGRAMS/graphics/AL-2012-04-25-04.tif,Morgan County,AL,September 1958,"Physiographic map of Morgan County, Ala., showing the drainage system (Soil Survey of Morgan County, Alabama; September 1958).",
http://www.nrcs.usda.gov/Internet/NRCS_DIAGRAMS/graphics/AL-2012-04-25-05.tif,Franklin County,AL,March 1965,"Typical cross section of Franklin County showing some of the soils in relation to topographic position and main geological formations (Soil Survey of Franklin County, Alabama; March 1965).","Colbert, Guin, Lindside, Ora, Saffell, Savannah, Talbott"
http://www.nrcs.usda.gov/Internet/NRCS_DIAGRAMS/graphics/AL-2012-04-25-06.tif,Baldwin County,AL,December 1964,"Physiographic areas of Baldwin County. 1. River flood plains and terraces. 2. Marine Terraces. 3. Areas of Coastal beaches. 4. Areas underlain by Hattiesburg clay. 5. Plateaus and ridgetops underlain by the Citronelle formation (Soil Survey of Baldwin County, Alabama; December 1964).",
http://www.nrcs.usda.gov/Internet/NRCS_DIAGRAMS/graphics/AR-2011-05-27-01.tif,Boone County ,AR,1981,"Pattern of soils and parent materials in Enders-Nella-Mountainburg unit (Soil Survey of Boone County, Arkansas; 1981).","Enders, Leadvale, Linker, Mountainburg, Nella "
http://www.nrcs.usda.gov/Internet/NRCS_DIAGRAMS/graphics/AR-2011-05-27-02.tif,Boone County ,AR,1981,"Pattern of soils and parent material in Clarksville-Nixa-Noark unit (Soil Survey of Boone County, Arkansas; 1981).","Arkana, Britwater, Clarksville, Mako, Nixa, Noark, Razort"
http://www.nrcs.usda.gov/Internet/NRCS_DIAGRAMS/graphics/AR-2011-05-27-03.tif,Newton County,AR,1988,"Pattern of soils and parent material in Nella-Enders-Steprock general soil map unit (Soil Survey of Newton County, Arkansas; 1988)","Eden, Enders, Leadvale, Linker, Mountainburg, Nella, Newnata, Steprock "
http://www.nrcs.usda.gov/Internet/NRCS_DIAGRAMS/graphics/AR-2012-05-08-01.tif,Boone County,AR,June 1981,"Pattern of soils and parent material in Enders-Nella-Mountburg unit (Soil Survey of Boone County, Arkansas; June 1981).","Enders, Leadvale, Linker, Mountburg, Nella"
http://www.nrcs.usda.gov/Internet/NRCS_DIAGRAMS/graphics/AR-2012-05-08-02.tif,Boone County,AR,June 1981,"Pattern of soils and parent material in Clarksville-Nixa-Noark unit (Soil Survey of Boone County, Arkansas; June 1981).","Arkana, Britwater, Clarksville, Nixa, Noark, Razort"
http://www.nrcs.usda.gov/Internet/NRCS_DIAGRAMS/graphics/AR-2012-05-08-03.tif,Bradley County,AR,April 1961,"General soil areas (Soil Survey of Bradley County, Arkansas; April 1961).","Bibb, Boswell, Chastain, Myatt, Ochlockonee, Prentiss, Ruston, Saffell, Savannah, Stough, Wilcox"
http://www.nrcs.usda.gov/Internet/NRCS_DIAGRAMS/graphics/AR-2012-05-08-04.tif,Newton County,AR,March 1988,"Pattern of soils and parent material in Nella-Enders-Steprock general soil map unit (Soil Survey of Newton County, Arkansas; March 1988).","Enders, Leadvale, Linker, Mountainburg, Nella, Newnata, Steprock"
http://www.nrcs.usda.gov/Internet/NRCS_DIAGRAMS/graphics/AZ-2010-08-30-01.tif,Hualapai-Havasupai Area,AZ,1999,"Planar view of the Hualapai-Havasupai area (Soil Survey of Hualapai-Havasupai Area, Arizona; 1999).",
http://www.nrcs.usda.gov/Internet/NRCS_DIAGRAMS/graphics/AZ-2010-08-30-02.tif,"Pima County, Eastern Part",AZ,2003,"Typical soil and landscape relationship on the northwest side of the Santa Rita Mountains (Soil Survey of Pima County, Arizona, Eastern Part; 2003).","Deloro, Mabray, Mohave, Pinaleno, Riveroad, Sahuarita, Yaqui"
http://www.nrcs.usda.gov/Internet/NRCS_DIAGRAMS/graphics/AZ-2010-08-30-03.tif,"Pima County, Eastern Part",AZ,2003,"Typical soil and landscape relationship on the east side of the Baboquivari Mountains (Soil Survey of Pima County, Arizona, Eastern Part; 2003).","Altar, Lampshire, Romero, Sasabe, Whitehouse"
http://www.nrcs.usda.gov/Internet/NRCS_DIAGRAMS/graphics/AZ-2010-08-30-04.tif,"Pima County, Eastern Part",AZ,2003,"Typical soil and landscape relationship in the San Pedro River Valley (Soil Survey of Pima County, Arizona, Eastern Part; 2003).","Arizo, Delnorte, Nahda, Pantak"
http://www.nrcs.usda.gov/Internet/NRCS_DIAGRAMS/graphics/AZ-2010-09-09-01.tif,"Grand Canyon Area, Parts of Coconino and Mohave Counties",AZ,2003,"Physiographic layout of the Grand Canyon Area soil survey (Soil Survey of Grand Canyon Area, Parts of Coconino and Mohave Counties, Arizona; 2003).",
http://www.nrcs.usda.gov/Internet/NRCS_DIAGRAMS/graphics/AZ-2011-05-27-01.tif,"Aguila-Carefree Area, Parts of Maricopa and Pinal Counties",AZ,1986,"Idealized soil-landscape profile (Soil Survey of Aguila-Carefree Area, Parts of Maricopa and Pinal Counties, Arizona; 1986).","Antho, Cherioni, Cipriano, Ebon, Gachado, Gilman, Gran, Gunsight, Lehmans, Momoli, Schenco"
http://www.nrcs.usda.gov/Internet/NRCS_DIAGRAMS/graphics/AZ-2011-05-27-02.tif,"Aguila-Carefree Area, Parts of Maricopa and Pinal Counties",AZ,1986,"Diagram of Agua Fria River-Lake Pleasant Area (Soil Survey of Aguila-Carefree Area, Parts of Maricopa and Pinal Counties, Arizona; 1986).","Beardsley, Carefee, Carrizo, Contine, Gachado, Lomitas, Mohall, Pinamt, Suncity  "
http://www.nrcs.usda.gov/Internet/NRCS_DIAGRAMS/graphics/AZ-2011-05-27-03.tif,Beaver Creek Area,AZ,1967,"Typical section of soils, lower part of Beaver Creek Area. Elevation at Courthouse Butte is approximately 5,000 feet (Soil Survey of Beaver Creek Area, Arizona; 1967).","Courthouse, Glendale, Guest, House Mountain, Karro, Laveen, Retriever, Springerville, Stagecoach, Tobler "
http://www.nrcs.usda.gov/Internet/NRCS_DIAGRAMS/graphics/AZ-2011-05-27-04.tif,Beaver Creek Area,AZ,1967,"Typical section of soils, upper part of Beaver Creek Area. Elevations range from 3,800 feet to 8,500 feet (Soil Survey of Beaver Creek Area, Arizona; 1967).","Brolliar, Friana, Gem, Jacks, Siesta, Sponseller, Springerville, Waldroup"
http://www.nrcs.usda.gov/Internet/NRCS_DIAGRAMS/graphics/AZ-2011-05-27-05.tif,"Coconino County Area, Central Part ",AZ,1983,"Soil-landscape profile on Tucker Mesa (Soil Survey of Coconino County Area, Arizona, Central Part; 1983).","Epikom, Ives, Navajo, Purgatory, Tours"
http://www.nrcs.usda.gov/Internet/NRCS_DIAGRAMS/graphics/AZ-2011-05-27-06.tif,"Coconino County Area, Central Part ",AZ,1983,"Soil-landscape profile on SP Mountain (Soil Survey of Coconino County Area, Arizona, Central Part; 1983).","Lomaki, Malaki, Wukoki, Wupatki"
http://www.nrcs.usda.gov/Internet/NRCS_DIAGRAMS/graphics/AZ-2011-05-27-07.tif,"Coconino County Area, Central Part ",AZ,1983,"Soil-landscape profile in an area north of Seligman (Soil Survey of Coconino County Area, Arizona, Central Part; 1983).","Ashfork, Cabezon, Daze, Deama, Disterheff, Rune, Springerville, Thunderbird, Torar "
http://www.nrcs.usda.gov/Internet/NRCS_DIAGRAMS/graphics/AZ-2011-05-27-08.tif,Colorado River Indian Reservation ,AZ,1986,"Soil landscape profile (Soil Survey of Colorado River Indian, Reservation, Arizona; 1986)  ","Cherioni, Chuckawalla, Gadsden, Glenbar, Gunsight, Lagunita, Laposa, Rositas, Superstition, Vint "
http://www.nrcs.usda.gov/Internet/NRCS_DIAGRAMS/graphics/AZ-2011-05-27-09.tif,"Fort Apache Indian Reservation, Parts of Apache, Gila, and Navajo Counties",AZ,1981,"Pattern of soil associations in the central part of the Fort Apache Indian Reservation (Soil Survey of Fort Apache Indian Reservation, Arizona, Parts of Apache, Gila, and Navajo Counties; 1981).","Baddy-1; Barkerville-5; Chevelon-9; Cibeque-8; Elledge-6, 7; Ess-3; Gordo-1, 2; Haplustolls-5, 7, 9, 10; Jacks-9; Overgaard-6; Roundtop-10; Showlow-8; Sponseller-3; Telephone-7; Thunderbird-4; Tortugas-10; Ustorthents-5, 7, 9, 10."
