"file","soil_series"
"AK-2011-05-27-01.tif","Bradway"
"AK-2011-05-27-01.tif","Chena"
"AK-2011-05-27-01.tif","Easter"
"AK-2011-05-27-01.tif","Fairbanks"
"AK-2011-05-27-01.tif","Gilmore"
"AK-2011-05-27-01.tif","Goldstream"
"AK-2011-05-27-01.tif","Lemeta"
"AK-2011-05-27-01.tif","Minto"
"AK-2011-05-27-01.tif","Salchaket"
"AK-2011-05-27-01.tif","Saulich"
"AK-2011-05-27-01.tif","Tanana"
"AL-2010-02-25-01.tif","Congaree"
"AL-2010-02-25-01.tif","Brantley"
"AL-2010-02-25-01.tif","Demopolis"
"AL-2010-02-25-01.tif","Freest"
"AL-2010-02-25-01.tif","Oktibbeha"
"AL-2010-02-25-01.tif","Searcy"
"AL-2010-02-25-01.tif","Sucarnoochee"
"AL-2010-02-25-01.tif","Watsonia"
"AL-2010-02-25-02.tif","Annemaine"
"AL-2010-02-25-02.tif","Arundel"
"AL-2010-02-25-02.tif","Bama"
"AL-2010-02-25-02.tif","Cantuche"
"AL-2010-02-25-02.tif","Izagora"
"AL-2010-02-25-02.tif","Lenoir"
"AL-2010-02-25-02.tif","Luverene"
"AL-2010-02-25-02.tif","Halso"
"AL-2010-02-25-02.tif","Malbis"
"AL-2010-02-25-02.tif","Mooreville"
"AL-2010-02-25-02.tif","Una"
"AL-2010-02-25-02.tif","Urbo"
"AL-2010-08-27-01.tif","Bama"
"AL-2010-08-27-01.tif","Bibb"
"AL-2010-08-27-01.tif","Boykin"
"AL-2010-08-27-01.tif","Brantley"
"AL-2010-08-27-01.tif","Flomaton"
"AL-2010-08-27-01.tif","Harleson"
"AL-2010-08-27-01.tif","Iuka"
"AL-2010-08-27-01.tif","Lucedale"
"AL-2010-08-27-01.tif","Okeelala"
"AL-2010-08-27-01.tif","Prim"
"AL-2010-08-27-01.tif","Smithdale"
"AL-2010-08-27-01.tif","Suggsville"
"AL-2010-08-27-01.tif","Wadley "
"AL-2011-05-27-01.tif","Appling"
"AL-2011-05-27-01.tif","Cecil"
"AL-2011-05-27-01.tif","Chewacla"
"AL-2011-05-27-01.tif","Davidson"
"AL-2011-05-27-01.tif","Hulett"
"AL-2011-05-27-01.tif","Louisa"
"AL-2011-05-27-01.tif","Madison"
"AL-2011-05-27-01.tif","Wilkes"
"AL-2012-04-24-02.tif","Bama"
"AL-2012-04-24-02.tif","Bibb"
"AL-2012-04-24-02.tif","Boykin"
"AL-2012-04-24-02.tif","Brantley"
"AL-2012-04-24-02.tif","Flomaton"
"AL-2012-04-24-02.tif","Harleston"
"AL-2012-04-24-02.tif","Iuka"
"AL-2012-04-24-02.tif","Lucedale"
"AL-2012-04-24-02.tif","Okeelala"
"AL-2012-04-24-02.tif","Prim"
"AL-2012-04-24-02.tif","Smithdale"
"AL-2012-04-24-02.tif","Suggsville"
"AL-2012-04-24-02.tif","Wadley"
"AL-2012-04-24-07.tif","Enders"
"AL-2012-04-24-07.tif","Leadville"
"AL-2012-04-24-07.tif","Montevallo"
"AL-2012-04-24-07.tif","Sequatchie"
"AL-2012-04-24-07.tif","Townley"
"AL-2012-04-24-11.tif","Oktibbeha"
"AL-2012-04-24-11.tif","Sumter"
"AL-2012-04-24-11.tif","Trinity"
"AL-2012-04-24-11.tif","Vaiden"
"AL-2012-04-24-12.tif","Angie"
"AL-2012-04-24-12.tif","Cahaba"
"AL-2012-04-24-12.tif","Dulac"
"AL-2012-04-24-12.tif","Leaf"
"AL-2012-04-24-13.tif","Allen"
"AL-2012-04-24-13.tif","Anniston"
"AL-2012-04-24-13.tif","Clarksville"
"AL-2012-04-24-13.tif","Decatur"
"AL-2012-04-24-13.tif","Fullerton"
"AL-2012-04-24-13.tif","Lehew"
"AL-2012-04-24-13.tif","Montevallo"
"AL-2012-04-24-13.tif","Rarden"
"AL-2012-04-24-14.tif","Appling"
"AL-2012-04-24-14.tif","Cecil"
"AL-2012-04-24-14.tif","Durham"
"AL-2012-04-24-14.tif","Lloyd"
"AL-2012-04-24-14.tif","Louisa"
"AL-2012-04-24-14.tif","Madison"
"AL-2012-04-25-05.tif","Colbert"
"AL-2012-04-25-05.tif","Guin"
"AL-2012-04-25-05.tif","Lindside"
"AL-2012-04-25-05.tif","Ora"
"AL-2012-04-25-05.tif","Saffell"
"AL-2012-04-25-05.tif","Savannah"
"AL-2012-04-25-05.tif","Talbott"
"AR-2011-05-27-01.tif","Enders"
"AR-2011-05-27-01.tif","Leadvale"
"AR-2011-05-27-01.tif","Linker"
"AR-2011-05-27-01.tif","Mountainburg"
"AR-2011-05-27-01.tif","Nella "
"AR-2011-05-27-02.tif","Arkana"
"AR-2011-05-27-02.tif","Britwater"
"AR-2011-05-27-02.tif","Clarksville"
"AR-2011-05-27-02.tif","Mako"
"AR-2011-05-27-02.tif","Nixa"
"AR-2011-05-27-02.tif","Noark"
"AR-2011-05-27-02.tif","Razort"
"AR-2011-05-27-03.tif","Eden"
"AR-2011-05-27-03.tif","Enders"
"AR-2011-05-27-03.tif","Leadvale"
"AR-2011-05-27-03.tif","Linker"
"AR-2011-05-27-03.tif","Mountainburg"
"AR-2011-05-27-03.tif","Nella"
"AR-2011-05-27-03.tif","Newnata"
"AR-2011-05-27-03.tif","Steprock "
"AR-2012-05-08-01.tif","Enders"
"AR-2012-05-08-01.tif","Leadvale"
"AR-2012-05-08-01.tif","Linker"
"AR-2012-05-08-01.tif","Mountburg"
"AR-2012-05-08-01.tif","Nella"
"AR-2012-05-08-02.tif","Arkana"
"AR-2012-05-08-02.tif","Britwater"
"AR-2012-05-08-02.tif","Clarksville"
"AR-2012-05-08-02.tif","Nixa"
"AR-2012-05-08-02.tif","Noark"
"AR-2012-05-08-02.tif","Razort"
"AR-2012-05-08-03.tif","Bibb"
"AR-2012-05-08-03.tif","Boswell"
"AR-2012-05-08-03.tif","Chastain"
"AR-2012-05-08-03.tif","Myatt"
"AR-2012-05-08-03.tif","Ochlockonee"
"AR-2012-05-08-03.tif","Prentiss"
"AR-2012-05-08-03.tif","Ruston"
"AR-2012-05-08-03.tif","Saffell"
"AR-2012-05-08-03.tif","Savannah"
"AR-2012-05-08-03.tif","Stough"
"AR-2012-05-08-03.tif","Wilcox"
"AR-2012-05-08-04.tif","Enders"
"AR-2012-05-08-04.tif","Leadvale"
"AR-2012-05-08-04.tif","Linker"
"AR-2012-05-08-04.tif","Mountainburg"
"AR-2012-05-08-04.tif","Nella"
"AR-2012-05-08-04.tif","Newnata"
"AR-2012-05-08-04.tif","Steprock"
"AZ-2010-08-30-02.tif","Deloro"
"AZ-2010-08-30-02.tif","Mabray"
"AZ-2010-08-30-02.tif","Mohave"
"AZ-2010-08-30-02.tif","Pinaleno"
"AZ-2010-08-30-02.tif","Riveroad"
"AZ-2010-08-30-02.tif","Sahuarita"
"AZ-2010-08-30-02.tif","Yaqui"
"AZ-2010-08-30-03.tif","Altar"
"AZ-2010-08-30-03.tif","Lampshire"
"AZ-2010-08-30-03.tif","Romero"
"AZ-2010-08-30-03.tif","Sasabe"
"AZ-2010-08-30-03.tif","Whitehouse"
"AZ-2010-08-30-04.tif","Arizo"
"AZ-2010-08-30-04.tif","Delnorte"
"AZ-2010-08-30-04.tif","Nahda"
"AZ-2010-08-30-04.tif","Pantak"
"AZ-2011-05-27-01.tif","Antho"
"AZ-2011-05-27-01.tif","Cherioni"
"AZ-2011-05-27-01.tif","Cipriano"
"AZ-2011-05-27-01.tif","Ebon"
"AZ-2011-05-27-01.tif","Gachado"
"AZ-2011-05-27-01.tif","Gilman"
"AZ-2011-05-27-01.tif","Gran"
"AZ-2011-05-27-01.tif","Gunsight"
"AZ-2011-05-27-01.tif","Lehmans"
"AZ-2011-05-27-01.tif","Momoli"
"AZ-2011-05-27-01.tif","Schenco"
"AZ-2011-05-27-02.tif","Beardsley"
"AZ-2011-05-27-02.tif","Carefee"
"AZ-2011-05-27-02.tif","Carrizo"
"AZ-2011-05-27-02.tif","Contine"
"AZ-2011-05-27-02.tif","Gachado"
"AZ-2011-05-27-02.tif","Lomitas"
"AZ-2011-05-27-02.tif","Mohall"
"AZ-2011-05-27-02.tif","Pinamt"
"AZ-2011-05-27-02.tif","Suncity  "
"AZ-2011-05-27-03.tif","Courthouse"
"AZ-2011-05-27-03.tif","Glendale"
"AZ-2011-05-27-03.tif","Guest"
"AZ-2011-05-27-03.tif","House Mountain"
"AZ-2011-05-27-03.tif","Karro"
"AZ-2011-05-27-03.tif","Laveen"
"AZ-2011-05-27-03.tif","Retriever"
"AZ-2011-05-27-03.tif","Springerville"
"AZ-2011-05-27-03.tif","Stagecoach"
"AZ-2011-05-27-03.tif","Tobler "
"AZ-2011-05-27-04.tif","Brolliar"
"AZ-2011-05-27-04.tif","Friana"
"AZ-2011-05-27-04.tif","Gem"
"AZ-2011-05-27-04.tif","Jacks"
"AZ-2011-05-27-04.tif","Siesta"
"AZ-2011-05-27-04.tif","Sponseller"
"AZ-2011-05-27-04.tif","Springerville"
"AZ-2011-05-27-04.tif","Waldroup"
"AZ-2011-05-27-05.tif","Epikom"
"AZ-2011-05-27-05.tif","Ives"
"AZ-2011-05-27-05.tif","Navajo"
"AZ-2011-05-27-05.tif","Purgatory"
"AZ-2011-05-27-05.tif","Tours"
"AZ-2011-05-27-06.tif","Lomaki"
"AZ-2011-05-27-06.tif","Malaki"
"AZ-2011-05-27-06.tif","Wukoki"
"AZ-2011-05-27-06.tif","Wupatki"
"AZ-2011-05-27-07.tif","Ashfork"
"AZ-2011-05-27-07.tif","Cabezon"
"AZ-2011-05-27-07.tif","Daze"
"AZ-2011-05-27-07.tif","Deama"
"AZ-2011-05-27-07.tif","Disterheff"
