"file","survey_area","state","issue_date","caption"
"AK-2011-05-27-01.tif","Fairbanks Area","AK","1959","Diagram of a landscape showing relationship of soil series, underlying material, and permafrost. Adapted from Pewe (Soil Survey of Fairbanks Area, Alaska; 1959). "
"AL-2010-02-25-01.tif","Wilcox County","AL","March 1999","Generalized patterns of soils, geomorphology, and landscape relationships in the Sucarnoochee-Congaree, Searcy-Freest, Demopolis-Watsonia, and Oktibbeha-Brantley general soil map units along Pine Barren Creek in the eastern part of Wilcox County (Soil Survey of Wilcox County, Alabama; 1999)."
"AL-2010-02-25-02.tif","Wilcox County","AL","March 1999","Generalized patterns of soils, geomorphology, and landscape relationships in the Urbo-Mooreville-Una, Annemaine-Izagora-Lenoir, Luverne-Halso, Arundel-Cantuche, and Bama-Malbis-Luverne general soil map units along the Alabama River in the central part of Wilcox County (Soil Survey of Wilcox County, Alabama; 1999)."
"AL-2010-08-27-01.tif","Clarke County","AL","2006","Generalized patterns of soils and geomorphology and landscape relationships in general soil map units 2—Iuka-Bibb-Harleston, 6—Lucedale-Bama-Smithdale, 8—Smithdale-Wadley-Boykin, 9—Smithdale-Flomaton-Wadley, 10—Prim-Suggsville-Brantley, and 11—Okeelala-Brantley-Smithdale. The area illustrated is along Bassett Creek in the northeastern part of Clarke County, Alabama (Soil Survey of Clarke County, Alabama; 2006) ."
"AL-2011-05-27-01.tif","Randolph County","AL","1967","Representative pattern of soils and parent materials (Soil Survey of Randolph County, Alabama; 1967). "
"AL-2012-04-24-02.tif","Clarke County","AL","August 2006","Generalized patterns of soils and geomorphology and landscape relationships in general soil map units 2—Iuka-Bibb-Harleston, 6—Lucedale-Bama-Smithdale, 8—Smithdale-Wadley-Boykin, 9—Smithdale-Flomaton-Wadley, 10—Prim-Suggsville-Brantley, and 11—Okeelala-Brantley-Smithdale. The area illustrated is along Bassett Creek in the northeastern part of Clarke County, Alabama (Soil Survey of Clarke County, Alabama; August 2006)."
"AL-2012-04-24-07.tif","Fayette County","AL","November 1965","Block diagram showing typical topography and the major soils in the Montevallo-Enders-Townley association (Soil Survey of Fayette County, Alabama; November 1965)."
"AL-2012-04-24-11.tif","Greene County","AL","June 1971","Cross section of association 2 showing topography, important soils, and underlying material (Soil Survey of Greene County, Alabama; June 1971)."
"AL-2012-04-24-12.tif","Greene County","AL","June 1971","Cross section of association 3 showing topography, important soils, and underlying material (Soil Survey of Greene County, Alabama; June 1971)."
"AL-2012-04-24-13.tif","Calhoun County","AL","September 1961","Some of the general soil areas, or soil associations, in relation to topographic position and parent material (Soil Survey of Calhoun County, Alabama; September 1961)."
"AL-2012-04-24-14.tif","Chambers County","AL","June 1959","Soil associations of Chambers County, Alabama (Soil Survey of Chambers County, Alabama; June 1959)."
"AL-2012-04-25-05.tif","Franklin County","AL","March 1965","Typical cross section of Franklin County showing some of the soils in relation to topographic position and main geological formations (Soil Survey of Franklin County, Alabama; March 1965)."
"AR-2011-05-27-01.tif","Boone County ","AR","1981","Pattern of soils and parent materials in Enders-Nella-Mountainburg unit (Soil Survey of Boone County, Arkansas; 1981)."
"AR-2011-05-27-02.tif","Boone County ","AR","1981","Pattern of soils and parent material in Clarksville-Nixa-Noark unit (Soil Survey of Boone County, Arkansas; 1981)."
"AR-2011-05-27-03.tif","Newton County","AR","1988","Pattern of soils and parent material in Nella-Enders-Steprock general soil map unit (Soil Survey of Newton County, Arkansas; 1988)"
"AR-2012-05-08-01.tif","Boone County","AR","June 1981","Pattern of soils and parent material in Enders-Nella-Mountburg unit (Soil Survey of Boone County, Arkansas; June 1981)."
"AR-2012-05-08-02.tif","Boone County","AR","June 1981","Pattern of soils and parent material in Clarksville-Nixa-Noark unit (Soil Survey of Boone County, Arkansas; June 1981)."
"AR-2012-05-08-03.tif","Bradley County","AR","April 1961","General soil areas (Soil Survey of Bradley County, Arkansas; April 1961)."
"AR-2012-05-08-04.tif","Newton County","AR","March 1988","Pattern of soils and parent material in Nella-Enders-Steprock general soil map unit (Soil Survey of Newton County, Arkansas; March 1988)."
"AZ-2010-08-30-02.tif","Pima County, Eastern Part","AZ","2003","Typical soil and landscape relationship on the northwest side of the Santa Rita Mountains (Soil Survey of Pima County, Arizona, Eastern Part; 2003)."
"AZ-2010-08-30-03.tif","Pima County, Eastern Part","AZ","2003","Typical soil and landscape relationship on the east side of the Baboquivari Mountains (Soil Survey of Pima County, Arizona, Eastern Part; 2003)."
"AZ-2010-08-30-04.tif","Pima County, Eastern Part","AZ","2003","Typical soil and landscape relationship in the San Pedro River Valley (Soil Survey of Pima County, Arizona, Eastern Part; 2003)."
"AZ-2011-05-27-01.tif","Aguila-Carefree Area, Parts of Maricopa and Pinal Counties","AZ","1986","Idealized soil-landscape profile (Soil Survey of Aguila-Carefree Area, Parts of Maricopa and Pinal Counties, Arizona; 1986)."
"AZ-2011-05-27-02.tif","Aguila-Carefree Area, Parts of Maricopa and Pinal Counties","AZ","1986","Diagram of Agua Fria River-Lake Pleasant Area (Soil Survey of Aguila-Carefree Area, Parts of Maricopa and Pinal Counties, Arizona; 1986)."
"AZ-2011-05-27-03.tif","Beaver Creek Area","AZ","1967","Typical section of soils, lower part of Beaver Creek Area. Elevation at Courthouse Butte is approximately 5,000 feet (Soil Survey of Beaver Creek Area, Arizona; 1967)."
"AZ-2011-05-27-04.tif","Beaver Creek Area","AZ","1967","Typical section of soils, upper part of Beaver Creek Area. Elevations range from 3,800 feet to 8,500 feet (Soil Survey of Beaver Creek Area, Arizona; 1967)."
"AZ-2011-05-27-05.tif","Coconino County Area, Central Part ","AZ","1983","Soil-landscape profile on Tucker Mesa (Soil Survey of Coconino County Area, Arizona, Central Part; 1983)."
"AZ-2011-05-27-06.tif","Coconino County Area, Central Part ","AZ","1983","Soil-landscape profile on SP Mountain (Soil Survey of Coconino County Area, Arizona, Central Part; 1983)."
"AZ-2011-05-27-07.tif","Coconino County Area, Central Part ","AZ","1983","Soil-landscape profile in an area north of Seligman (Soil Survey of Coconino County Area, Arizona, Central Part; 1983)."
"AZ-2011-05-27-08.tif","Colorado River Indian Reservation ","AZ","1986","Soil landscape profile (Soil Survey of Colorado River Indian, Reservation, Arizona; 1986)  "
"AZ-2011-05-27-09.tif","Fort Apache Indian Reservation, Parts of Apache, Gila, and Navajo Counties","AZ","1981","Pattern of soil associations in the central part of the Fort Apache Indian Reservation (Soil Survey of Fort Apache Indian Reservation, Arizona, Parts of Apache, Gila, and Navajo Counties; 1981)."
"AZ-2011-05-27-10.tif","Gila Bend-Ajo Area","AZ","1997","Typical pattern of soil associations in the survey area (Soil Survey of Gila Bend-Ajo Area, Arizona; 1997). "
"AZ-2011-05-27-11.tif","Gila Bend-Ajo Area","AZ","1997","A typical area of Gunsight-Chuckawalla complex, 1 to 15 percent slopes (Soil Survey of Gila Bend-Ajo Area, Arizona; 1997). "
"AZ-2011-05-27-12.tif","Gila Bend-Ajo Area","AZ","1997","An idealized soil-landscape profile of the Maricopa Mountains (Soil Survey of Gila Bend-Ajo Area, Arizona; 1997). "
"AZ-2011-05-27-13.tif","Gila Bend-Ajo Area","AZ","1997","Cross section of the Valley of the Ajo, from Black Mountain across Rio Cornez (Soil Survey of Gila Bend-Ajo Area, Arizona; 1997). "
"AZ-2011-05-27-18.tif","Hualapai-Havasupai Area","AZ","1999","Typical pattern of soils and parent material in the Rock outcrop-Torriorthents-Splanod general soil map unit in the Grand Canyon. Splanod soils are on the structural bench known as the Esplanade, on the uppermost member (Soil Survey of Hualapai-Havasupai Area, Arizona; 1999)."
"AZ-2011-05-27-19.tif","Hualapai-Havasupai Area","AZ","1999","Typical pattern of soils and parent material in the Rizno-Ustorthents-Rock outcrop general soil map unit. This unit occurs at the highest elevations of the Grand Canyon and its major tributaries (Soil Survey of Hualapai-Havasupai Area, Arizona; 1999)."
"AZ-2011-05-27-20.tif","Hualapai-Havasupai Area","AZ","1999","Typical pattern of soils and parent material in the Winona-Curhollow-Puertecito general soil map unit (Soil Survey of Hualapai-Havasupai Area, Arizona; 1999)."
"AZ-2011-05-27-21.tif","Hualapai-Havasupai Area","AZ","1999","Typical pattern of soils and parent material in the Deama-Toqui and Natank-Disterheff-Yumtheska general soil map units. The landscape is controlled by the underlying limestone, and soil components vary mainly in depth to rock and slope (Soil Survey of Hualapai-Havasupai Area, Arizona; 1999)."
"AZ-2011-05-27-22.tif","Hualapai-Havasupai Area","AZ","1999","Typical pattern of soils and parent material in the Pinntank-Pocomate-Theecan general soil map unit. Parts of the Coconino Plateau in the survey area are overlain by deep, alluvial deposits that have been uplifted and eroded into dessected hills, Theecan soils are derived from these deposits (Soil Survey of Hualapai-Havasupai Area, Arizona; 1999)."
"AZ-2011-05-27-23.tif","Long Valley Area","AZ","1974","Typical patterns of soil in area south of East Clear Creek (Soil Survey of Long Valley Area, Arizona; 1974)."
"AZ-2011-05-27-24.tif","Long Valley Area","AZ","1974","Typical pattern of soils in area north of East Clear Creek (Soil Survey of Long Valley Area, Arizona; 1974)."
"AZ-2011-05-27-25.tif","Pima County, Eastern Part","AZ","2003","Typical soil and landscape relationship on the northwest side of the Santa Rita Mountains (Soil Survey of Pima County, Arizona, Eastern Part; 2003)."
"AZ-2011-05-27-26.tif","Pima County, Eastern Part","AZ","2003","Typical soil and landscape relationship on the east side of the Baboquirari Mountains (Soil Survey of Pima County, Arizona, Eastern Part; 2003)."
