"file","survey_area","state","issue_date","caption","series"
"AL-2012-04-24-01.tif","Clarke County","AL","August 2006","Schematic of the Gulf Coastal Plain illustrating the dip of Coastal Plain sediments and the pattern of outcrop on the surface. Also shown are the cuestas that occur in a north-facing direction where streams seeking pathways to the Gulf of Mexico encountered belts of resistant rocks (Lacefield, 2000, after Clay and  others, 1989) (Soil Survey of Clarke County, Alabama; August 2006).",""
"AL-2012-04-24-03.tif","Clarke County","AL","August 2006","A reconstruction of the paleoenvironment of the Gulf region during the time of deposition of the rocks near the Eocene/Oligocene boundary (around 38 million years ago). Much of southern Alabama and Mississippi was submerged in a shallow sea during the Oligocene Period. The marine sediments deposited during this period include the limestone, chalk, marl, and shale exposed in the uplands of Clarke County today (Soil Survey of Clarke County, Alabama; August 2006).",""
"AL-2012-04-24-04.tif","Clarke County","AL","August 2006","Origin of a salt bed: Millions of years ago, a part of the Costal Plain area was reminiscent of the area around the Great Salt Lake. During this much drier climate, an evaporative salt deposit formed in the bed of a shallow sea. Subsequently it was covered over by tens of thousands of feet of sedimentary layers as sea level rose and fell over long periods of time (Soil Survey of Clarke County, Alabama; August 2006).",""
"AL-2012-04-24-05.tif","Clarke County","AL","August 2006","Salt dome formation: Over geologic time, the weight of several thousands of feet of water-laden sediments exerted pressure on the once-flat salt bed, causing an upward welling of the salt. As the less dense, plastic salt thrust upward, it deformed the overlying sedimentary layers. Faulting and folding resulted, and cracks and fissures formed along this zone of deformation allowing oil and natural gas deposits to rise upward. The gas and oil collected in traps formed by dense layers of clays and bedrock surrounding porous layers of sands and soft shales. The formation of salt domes caused deformation of the local landscape, resulting in increased relief, exposure of older sediments to weathering, and creation of salty artesian springs (Soil Survey of Clarke County, Alabama; August 2006).",""
"AL-2012-04-24-06.tif","Clarke County","AL","August 2006","The Hatchetigbee Anticline, which is more than 30 miles long and 15 miles wide, resulted from a convex upward folding of the bedded sediments. The uplifting mechanism is thought to be a salt dome. Erosion of the deformed strata during the uplifting has resulted in rugged topography and exposure of sedimentary beds that normally would be overlain by younger sediments (Soil Survey of Clarke County, Alabama; August 2006).",""
"AL-2012-04-24-08.tif","Marshall County","AL","June 1959","Physiographic divisions in Marshall County: (1) Sandstone plateaus, (2) rough mountain slopes, (3) limestone valleys (Soil Survey of Marshall County, Alabama; June 1959).",""
"AL-2012-04-24-09.tif","Marshall County","AL","June 1959","East-west profile through Guntersville. Horizontal distance approximately 7 miles (Soil Survey of Marshall County, Alabama; June 1959).",""
"AL-2012-04-24-10.tif","Montgomery County","AL","September 1960","Physiographic subdivisions in Montgomery County: (1) Flood plains and low stream terraces; (2) red, high stream terraces; (3) prairie land or black belt; (4) rough, hilly land; and (5) gray sandy land (Soil Survey of Montgomery County, Alabama; September 1960).",""
"AL-2012-04-24-15.tif","Limestone County","AL","March 1953","Physiographic map of Limestone County, Ala., showing the drainage system (Soil Survey of Limestone County, Alabama; March 1953).",""
"AL-2012-04-24-16.tif","Madison County","AL","February 1958","Physiographic map of Madison County, Ala. (Soil Survey of Madison County, Alabama; February 1958).",""
"AL-2012-04-25-01.tif","Jackson County","AL","March 1954","Physiographic divisions of Jackson County, Ala (Soil Survey of Jackson County, Alabama; March 1954).",""
"AL-2012-04-25-02.tif","Jackson County","AL","March 1954","Profile along 34°50′ parallel across Jackson County, Ala., showing important land features, approximate relief, and nature and occurrence of parent rock (Soil Survey of Jackson County, Alabama; March 1954).",""
"AL-2012-04-25-03.tif","De Kalb County","AL","September 1958","Physiographic map of De Kalb County, Alabama (Soil Survey of De Kalb County, Alabama; September 1958).",""
"AL-2012-04-25-04.tif","Morgan County","AL","September 1958","Physiographic map of Morgan County, Ala., showing the drainage system (Soil Survey of Morgan County, Alabama; September 1958).",""
"AL-2012-04-25-06.tif","Baldwin County","AL","December 1964","Physiographic areas of Baldwin County. 1. River flood plains and terraces. 2. Marine Terraces. 3. Areas of Coastal beaches. 4. Areas underlain by Hattiesburg clay. 5. Plateaus and ridgetops underlain by the Citronelle formation (Soil Survey of Baldwin County, Alabama; December 1964).",""
